Sample_ID,Rep,Domestication,Fertilization,Harvest,Shoot_Biomass_g,Root_Biomas_g
1,2,Wild,Fertilized,Seedling,0.017,0.0013
2,3,Wild,Fertilized,Seedling,0.0997,0.0079
3,4,Wild,Fertilized,Seedling,0.0475,0.0022
4,5,Wild,Fertilized,Seedling,0.0599,0.0019
5,6,Wild,Fertilized,Seedling,0.297,0.035
6,1,Wild,Fertilized,Early_Vegetative,1.6525,0.1593
7,2,Wild,Fertilized,Early_Vegetative,2.0695,0.2053
8,3,Wild,Fertilized,Early_Vegetative,2.1029,0.1194
9,5,Wild,Fertilized,Early_Vegetative,2.4967,0.1473
10,6,Wild,Fertilized,Early_Vegetative,1.291,0.1333
11,2,Wild,Fertilized,Late_Vegetative,1.9957,0.3289
12,4,Wild,Fertilized,Late_Vegetative,4.1002,0.278
13,5,Wild,Fertilized,Late_Vegetative,2.9419,0.5348
14,6,Wild,Fertilized,Late_Vegetative,2.6156,0.1324
15,1,Wild,Fertilized,Early_Flower,3.2168,0.3119
16,2,Wild,Fertilized,Early_Flower,2.2863,0.3862
17,3,Wild,Fertilized,Early_Flower,2.5718,0.4851
18,5,Wild,Fertilized,Early_Flower,3.749,0.6947
19,6,Wild,Fertilized,Early_Flower,0.8344,3.8505
20,1,Wild,Fertilized,Late_Flower,5.3752,0.8073
21,2,Wild,Fertilized,Late_Flower,5.3036,0.7531
22,3,Wild,Fertilized,Late_Flower,3.5338,0.6167
23,4,Wild,Fertilized,Late_Flower,3.3783,0.4648
24,5,Wild,Fertilized,Late_Flower,4.0428,
25,1,Wild,Unfertilized,Seedling,0.0138,0.0025
26,2,Wild,Unfertilized,Seedling,,0.0012
27,3,Wild,Unfertilized,Seedling,0.0394,0.0024
28,4,Wild,Unfertilized,Seedling,0.0126,0.0041
29,1,Wild,Unfertilized,Early_Vegetative,0.1136,0.0154
30,2,Wild,Unfertilized,Early_Vegetative,0.1946,0.0415
31,3,Wild,Unfertilized,Early_Vegetative,0.1968,0.0217
32,5,Wild,Unfertilized,Early_Vegetative,0.1874,0.0065
33,6,Wild,Unfertilized,Early_Vegetative,0.0638,0.0017
34,1,Wild,Unfertilized,Late_Vegetative,1.0405,0.1149
35,2,Wild,Unfertilized,Late_Vegetative,0.8146,0.086
36,4,Wild,Unfertilized,Late_Vegetative,0.4232,0.0168
37,5,Wild,Unfertilized,Late_Vegetative,0.5257,0.0496
38,6,Wild,Unfertilized,Late_Vegetative,1.2085,0.1826
39,2,Wild,Unfertilized,Early_Flower,0.9197,0.198
40,3,Wild,Unfertilized,Early_Flower,1.2482,0.2879
41,4,Wild,Unfertilized,Early_Flower,1.1605,0.1128
42,5,Wild,Unfertilized,Early_Flower,0.9804,0.1181
43,6,Wild,Unfertilized,Early_Flower,1.2514,0.2892
44,1,Wild,Unfertilized,Late_Flower,1.0549,0.1241
45,2,Wild,Unfertilized,Late_Flower,1.1354,0.1308
46,3,Wild,Unfertilized,Late_Flower,1.5874,0.1555
47,4,Wild,Unfertilized,Late_Flower,1.6198,0.2308
48,5,Wild,Unfertilized,Late_Flower,1.8239,0.2313
49,6,Wild,Unfertilized,Late_Flower,1.5302,0.3372
50,1,Modern,Fertilized,Seedling,1.1401,0.1575
51,2,Modern,Fertilized,Seedling,1.2599,0.2129
52,3,Modern,Fertilized,Seedling,1.5422,0.2212
53,4,Modern,Fertilized,Seedling,1.3384,0.1441
54,5,Modern,Fertilized,Seedling,1.1827,0.1747
55,6,Modern,Fertilized,Seedling,1.0092,0.1826
56,1,Modern,Fertilized,Early_Vegetative,3.1333,5.4167
57,2,Modern,Fertilized,Early_Vegetative,1.564,3.5568
58,3,Modern,Fertilized,Early_Vegetative,4.3216,7.8508
59,4,Modern,Fertilized,Early_Vegetative,3.6398,6.1725
60,5,Modern,Fertilized,Early_Vegetative,3.0947,7.1854
61,6,Modern,Fertilized,Early_Vegetative,4.161,11.2557
62,1,Modern,Fertilized,Late_Vegetative,3.5193,1.7903
63,2,Modern,Fertilized,Late_Vegetative,4.1876,1.7509
64,3,Modern,Fertilized,Late_Vegetative,7.5239,13.5014
65,4,Modern,Fertilized,Late_Vegetative,3.5573,1.4716
66,5,Modern,Fertilized,Late_Vegetative,4.8741,1.1502
67,6,Modern,Fertilized,Late_Vegetative,4.0787,0.8403
68,1,Modern,Fertilized,Early_Flower,3.2605,1.3846
69,2,Modern,Fertilized,Early_Flower,4.8215,12.5283
70,3,Modern,Fertilized,Early_Flower,4.3275,1.6333
71,4,Modern,Fertilized,Early_Flower,5.1216,1.9946
72,5,Modern,Fertilized,Early_Flower,1.8438,2.1077
73,6,Modern,Fertilized,Early_Flower,1.801,0.9902
74,1,Modern,Fertilized,Late_Flower,4.0868,0.7014
75,2,Modern,Fertilized,Late_Flower,7.6095,1.1316
76,3,Modern,Fertilized,Late_Flower,3.3865,0.6355
77,4,Modern,Fertilized,Late_Flower,4.3948,0.6908
78,5,Modern,Fertilized,Late_Flower,4.5199,0.745
79,6,Modern,Fertilized,Late_Flower,4.5808,0.9148
80,1,Modern,Unfertilized,Seedling,0.1205,0.0234
81,2,Modern,Unfertilized,Seedling,0.1977,0.0463
82,3,Modern,Unfertilized,Seedling,0.192,0.0291
83,4,Modern,Unfertilized,Seedling,0.1128,0.0173
84,5,Modern,Unfertilized,Seedling,0.1435,0.0186
85,6,Modern,Unfertilized,Seedling,0.1111,0.0171
86,1,Modern,Unfertilized,Early_Vegetative,0.6213,0.1693
87,2,Modern,Unfertilized,Early_Vegetative,0.7938,0.2129
88,3,Modern,Unfertilized,Early_Vegetative,1.2548,0.2605
89,4,Modern,Unfertilized,Early_Vegetative,0.6771,0.2061
90,5,Modern,Unfertilized,Early_Vegetative,0.7251,0.1999
91,6,Modern,Unfertilized,Early_Vegetative,0.8685,0.1478
92,1,Modern,Unfertilized,Late_Vegetative,2.0777,0.4565
93,2,Modern,Unfertilized,Late_Vegetative,2.0666,0.5514
94,3,Modern,Unfertilized,Late_Vegetative,2.6486,0.615
95,4,Modern,Unfertilized,Late_Vegetative,1.7392,0.7321
96,5,Modern,Unfertilized,Late_Vegetative,2.0704,0.3927
97,6,Modern,Unfertilized,Late_Vegetative,2.2028,0.5886
98,1,Modern,Unfertilized,Early_Flower,2.6344,0.8021
99,2,Modern,Unfertilized,Early_Flower,2.3532,0.7453
100,3,Modern,Unfertilized,Early_Flower,2.4727,0.9624
101,4,Modern,Unfertilized,Early_Flower,2.3259,0.5836
102,5,Modern,Unfertilized,Early_Flower,2.6308,0.8199
103,6,Modern,Unfertilized,Early_Flower,3.2492,0.5312
104,1,Modern,Unfertilized,Late_Flower,3.9224,0.8369
105,2,Modern,Unfertilized,Late_Flower,5.4564,1.1626
106,3,Modern,Unfertilized,Late_Flower,3.0369,0.6497
107,4,Modern,Unfertilized,Late_Flower,4.8121,1.7665
108,5,Modern,Unfertilized,Late_Flower,3.6029,0.7536
109,6,Modern,Unfertilized,Late_Flower,2.9324,0.6379
110,6,Wild,Fertilized,Late_Flower,2.6533,0.85
