Well ID,Well,882,mg/L,mg/kg,SampleID,Domestication,Fertilization,Harvest,Rep
SPL1,B1,0.119,0.70860077,14.1720154,1,Wild,Fertilized,Seedling,2
SPL2,B2,0.133,0.888318357,17.76636714,2,Wild,Fertilized,Seedling,3
SPL3,B3,0.1,0.464698331,9.293966624,3,Wild,Fertilized,Seedling,4
SPL4,B4,0.102,0.490372272,9.807445443,4,Wild,Fertilized,Seedling,5
SPL5,B5,0.089,0.323491656,6.469833119,5,Wild,Fertilized,Seedling,6
SPL6,B6,0.133,0.888318357,17.76636714,6,Wild,Fertilized,Early_Vegetative,1
SPL7,B7,0.111,0.605905006,12.11810013,7,Wild,Fertilized,Early_Vegetative,2
SPL8,B8,0.14,0.97817715,19.563543,8,Wild,Fertilized,Early_Vegetative,3
SPL9,B9,0.92,10.99101412,219.8202824,9,Wild,Fertilized,Early_Vegetative,5
SPL10,B10,0.112,0.618741977,12.37483954,10,Wild,Fertilized,Early_Vegetative,6
SPL11,B11,0.198,1.722721438,34.45442875,11,Wild,Fertilized,Late_Vegetative,2
SPL12,B12,0.093,0.374839538,7.496790757,12,Wild,Fertilized,Late_Vegetative,4
SPL13,C1,0.078,0.182284981,3.645699615,13,Wild,Fertilized,Late_Vegetative,5
SPL14,C2,0.104,0.516046213,10.32092426,14,Wild,Fertilized,Late_Vegetative,6
SPL15,C3,0.139,0.96534018,19.30680359,15,Wild,Fertilized,Early_Flower,1
SPL16,C4,0.084,0.259306804,5.186136072,16,Wild,Fertilized,Early_Flower,2
SPL17,C5,0.079,0.195121951,3.902439024,17,Wild,Fertilized,Early_Flower,3
SPL18,C6,0.091,0.349165597,6.983311938,18,Wild,Fertilized,Early_Flower,5
SPL19,C7,0.096,0.413350449,8.267008986,19,Wild,Fertilized,Early_Flower,6
SPL20,C8,0.092,0.362002567,7.240051348,20,Wild,Fertilized,Late_Flower,1
SPL21,C9,0.098,0.43902439,8.780487805,21,Wild,Fertilized,Late_Flower,2
SPL22,C10,0.127,0.811296534,16.22593068,22,Wild,Fertilized,Late_Flower,3
SPL23,C11,0.087,0.297817715,5.9563543,23,Wild,Fertilized,Late_Flower,4
SPL24,C12,0.067,0.041078306,0.82156611,24,Wild,Fertilized,Late_Flower,5
SPL25,D1,0.065,0.015404365,0.308087291,25,Wild,Unfertilized,Seedling,1
SPL26,D2,0.065,0.015404365,0.308087291,26,Wild,Unfertilized,Seedling,2
SPL27,D3,0.066,0.028241335,0.564826701,27,Wild,Unfertilized,Seedling,3
SPL28,D4,0.068,0.053915276,1.07830552,28,Wild,Unfertilized,Seedling,4
SPL29,D5,0.066,0.028241335,0.564826701,29,Wild,Unfertilized,Early_Vegetative,1
SPL30,D6,0.065,0.015404365,0.308087291,30,Wild,Unfertilized,Early_Vegetative,2
SPL31,D7,0.07,0.079589217,1.591784339,31,Wild,Unfertilized,Early_Vegetative,3
SPL32,D8,0.068,0.053915276,1.07830552,32,Wild,Unfertilized,Early_Vegetative,5
SPL33,D9,0.067,0.041078306,0.82156611,33,Wild,Unfertilized,Early_Vegetative,6
SPL34,D10,0.065,0.015404365,0.308087291,34,Wild,Unfertilized,Late_Vegetative,1
SPL35,D11,0.068,0.053915276,1.07830552,35,Wild,Unfertilized,Late_Vegetative,2
SPL36,D12,0.063,-0.010269576,-0.205391528,36,Wild,Unfertilized,Late_Vegetative,4
SPL37,E1,0.065,0.015404365,0.308087291,37,Wild,Unfertilized,Late_Vegetative,5
SPL38,E2,0.067,0.041078306,0.82156611,38,Wild,Unfertilized,Late_Vegetative,6
SPL39,E3,0.064,0.002567394,0.051347882,39,Wild,Unfertilized,Early_Flower,2
SPL40,E4,0.066,0.028241335,0.564826701,40,Wild,Unfertilized,Early_Flower,3
SPL41,E5,0.07,0.079589217,1.591784339,41,Wild,Unfertilized,Early_Flower,4
SPL42,E6,0.068,0.053915276,1.07830552,42,Wild,Unfertilized,Early_Flower,5
SPL43,E7,0.065,0.015404365,0.308087291,43,Wild,Unfertilized,Early_Flower,6
SPL44,E8,0.067,0.041078306,0.82156611,44,Wild,Unfertilized,Late_Flower,1
SPL45,E9,0.064,0.002567394,0.051347882,45,Wild,Unfertilized,Late_Flower,2
SPL46,E10,0.064,0.002567394,0.051347882,46,Wild,Unfertilized,Late_Flower,3
SPL47,E11,0.064,0.002567394,0.051347882,47,Wild,Unfertilized,Late_Flower,4
SPL48,E12,0.17,1.363286264,27.26572529,48,Wild,Unfertilized,Late_Flower,5
