plate no.,plate sample ID,Experimental Sample ID,Rep,Sterility,Fertilization,soil conditioning,Well,Olsen_ppm
1,10,49,1,S,UF,O,B10,49.00641026
1,11,22,6,S,FF,M,B11,55.73717949
1,12,46,6,S,FU,M,B12,28.17307692
1,16,62,6,S,UF,W,C4,55.09615385
1,17,41,1,S,FU,M,C5,7.66025641
1,21,85,5,S,UU,W,C9,-1.955128205
1,22,76,4,S,UU,O,C10,3.173076923
1,23,78,6,S,UU,O,C11,-1.955128205
1,27,73,1,S,UU,O,D3,-3.237179487
1,28,26,2,S,FU,O,D4,7.33974359
1,29,3,3,S,FF,O,D5,23.68589744
1,30,74,2,S,UU,O,D6,-1.955128205
1,31,80,8,S,UU,O,D7,-2.916666667
1,32,19,3,S,FF,M,D8,18.55769231
1,34,29,5,S,FU,O,D10,14.71153846
1,35,11,3,S,FF,W,D11,46.12179487
1,36,51,3,S,UF,O,D12,41.95512821
1,37,94,6,S,UU,M,E1,-3.237179487
1,38,64,3,S,UF,M,E2,55.41666667
1,39,6,6,S,FF,O,E3,67.59615385
1,43,90,2,S,UU,M,E7,-4.83974359
1,44,38,6,S,FU,W,E8,3.814102564
1,47,23,7,S,FF,M,E11,52.8525641
1,51,57,1,S,UF,W,F3,24.96794872
1,52,69,5,S,UF,M,F4,54.77564103
1,53,15,7,S,FF,W,F5,29.13461538
1,54,93,5,S,UU,M,F6,-4.83974359
1,55,68,4,S,UF,M,F7,24.6474359
1,56,69,5,S,UF,M,F8,56.37820513
1,58,32,8,S,FU,O,F10,10.86538462
1,59,24,8,S,FF,M,F11,44.83974359
1,60,69,5,S,UF,M,F12,43.55769231
1,62,87,7,S,UU,W,G2,-1.634615385
1,63,14,6,S,FF,W,G3,68.23717949
1,65,30,6,S,FU,O,G5,11.18589744
1,66,56,8,S,UF,O,G6,57.01923077
1,67,25,1,S,FU,O,G7,7.019230769
2,1,79,7,S,UU,O,B1,2.295918367
2,2,77,5,S,UU,O,B2,0.510204082
2,5,65,1,S,UF,M,B5,0
2,6,83,3,S,UU,W,B6,13.7755102
2,8,4,4,S,FF,O,B8,58.92857143
2,9,60,4,S,UF,W,B9,30.6122449
2,10,12,4,S,FF,W,B10,42.34693878
2,11,55,7,S,UF,O,B11,7.908163265
2,13,81,1,S,UU,W,C1,0
2,15,48,8,S,FU,M,C3,34.18367347
2,16,72,8,S,UF,M,C4,14.79591837
2,17,36,4,S,FU,W,C5,9.43877551
2,18,91,3,S,UU,M,C6,63.52040816
2,20,20,4,S,FF,M,C8,53.57142857
2,21,1,1,S,FF,O,C9,12.75510204
2,22,59,3,S,UF,W,C10,30.10204082
2,23,50,2,S,UF,O,C11,37.75510204
2,27,13,5,S,FF,W,D3,47.95918367
2,32,54,6,S,UF,O,D8,38.26530612
2,33,171,1,S,FF,M,D9,47.95918367
2,34,42,2,S,FU,M,D10,17.09183673
2,38,96,8,S,UU,M,E2,0.510204082
2,41,27,3,S,FU,O,E5,54.84693878
2,42,17,1,S,FF,M,E6,72.95918367
2,51,84,4,S,UU,W,F3,1.530612245
2,52,89,1,S,UU,M,F4,0.510204082
2,54,43,3,S,FU,M,F6,21.68367347
2,60,95,7,S,UU,M,F12,0
2,62,28,4,S,FU,O,G2,22.70408163
2,63,92,4,S,UU,M,G3,1.020408163
2,64,18,2,S,FF,M,G4,25.51020408
2,66,86,6,S,UU,W,G6,1.020408163
2,68,58,2,S,UF,W,G8,41.07142857
2,69,2,2,S,FF,O,G9,18.36734694
2,71,47,7,S,FU,M,G11,16.58163265
3,1,10,2,S,FF,W,B1,59.05354919
3,2,45,5,S,FU,M,B2,8.742216687
3,3,82,2,S,UU,W,B3,0.772104608
3,4,39,7,S,FU,W,B4,9.489414695
3,5,52,4,S,UF,O,B5,56.06475716
3,6,7,7,S,FF,O,B6,12.47820672
3,10,37,5,S,FU,W,B10,8.493150685
3,11,53,5,S,UF,O,B11,54.32129514
3,13,61,5,S,UF,W,C1,31.90535492
3,14,44,4,S,FU,M,C2,8.493150685
3,15,66,2,S,UF,M,C3,14.47073474
3,16,48,8,S,FU,W,C4,6.99875467
3,18,21,5,S,FF,M,C6,1.270236613
3,19,75,3,S,UU,O,C7,1.02117061
3,21,35,3,S,FU,W,C9,21.69364882
3,30,5,5,S,FF,O,D6,35.14321295
