ID,P(ppm),Sample No.,Domestication,Fertilization,Week,Harvest,Shoot_Biomass_g,Shoot_Biomass_kg,P_content
55,688.011107,15,Wild,Fertilized,5,Early_Flower,3.2168,0.0032168,2.213194129
64,672.5545333,16,Wild,Fertilized,5,Early_Flower,2.2863,0.0022863,1.537661429
85,710.4070053,17,Wild,Fertilized,5,Early_Flower,2.5718,0.0025718,1.827024736
58,1069.419749,18,Wild,Fertilized,5,Early_Flower,3.749,0.003749,4.009254639
59,871.0198606,19,Wild,Fertilized,5,Early_Flower,0.8344,0.0008344,0.726778972
46,544.6154309,39,Wild,Unfertilized,5,Early_Flower,0.9197,0.0009197,0.500882812
57,703.8132131,40,Wild,Unfertilized,5,Early_Flower,1.2482,0.0012482,0.878499653
63,641.1401423,41,Wild,Unfertilized,5,Early_Flower,1.1605,0.0011605,0.744043135
82,452.8304094,42,Wild,Unfertilized,5,Early_Flower,0.9804,0.0009804,0.443954933
70,748.2117103,43,Wild,Unfertilized,5,Early_Flower,1.2514,0.0012514,0.936312134
73,2397.897718,68,Modern,Fertilized,5,Early_Flower,3.2605,0.0032605,7.81834551
45,2020.798797,69,Modern,Fertilized,5,Early_Flower,4.8215,0.0048215,9.7432814
78,2297.6158,70,Modern,Fertilized,5,Early_Flower,4.3275,0.0043275,9.942932375
53,1962.127006,71,Modern,Fertilized,5,Early_Flower,5.1216,0.0051216,10.04922967
75,1880.798113,72,Modern,Fertilized,5,Early_Flower,1.8438,0.0018438,3.467815561
86,1782.491288,73,Modern,Fertilized,5,Early_Flower,1.801,0.001801,3.21026681
67,1054.571271,98,Modern,Unfertilized,5,Early_Flower,2.6344,0.0026344,2.778162556
81,712.5309673,99,Modern,Unfertilized,5,Early_Flower,2.3532,0.0023532,1.676727872
76,965.2749955,100,Modern,Unfertilized,5,Early_Flower,2.4727,0.0024727,2.386835481
61,1088.266296,101,Modern,Unfertilized,5,Early_Flower,2.3259,0.0023259,2.531198578
60,947.7138853,102,Modern,Unfertilized,5,Early_Flower,2.6308,0.0026308,2.493245689
83,854.5757686,103,Modern,Unfertilized,5,Early_Flower,3.2492,0.0032492,2.776687587
49,3055.203016,6,Wild,Fertilized,3,Early_Vegetative,1.6525,0.0016525,5.048722984
54,1753.225682,7,Wild,Fertilized,3,Early_Vegetative,2.0695,0.0020695,3.628300549
68,1034.363074,8,Wild,Fertilized,3,Early_Vegetative,2.1029,0.0021029,2.175162108
71,1192.770509,9,Wild,Fertilized,3,Early_Vegetative,2.4967,0.0024967,2.97799013
52,971.3383698,10,Wild,Fertilized,3,Early_Vegetative,1.291,0.001291,1.253997835
1,2332.31224,56,Modern,Fertilized,3,Early_Vegetative,3.1333,0.0031333,7.307833942
9,3250.247969,57,Modern,Fertilized,3,Early_Vegetative,1.564,0.001564,5.083387824
5,1751.590667,58,Modern,Fertilized,3,Early_Vegetative,4.3216,0.0043216,7.569674227
7,1723.618889,59,Modern,Fertilized,3,Early_Vegetative,3.6398,0.0036398,6.273628032
10,1452.034776,60,Modern,Fertilized,3,Early_Vegetative,3.0947,0.0030947,4.493612021
12,1825.608694,61,Modern,Fertilized,3,Early_Vegetative,4.161,0.004161,7.596357776
6,2195.553954,86,Modern,Unfertilized,3,Early_Vegetative,0.6213,0.0006213,1.364097672
8,1631.814799,87,Modern,Unfertilized,3,Early_Vegetative,0.7938,0.0007938,1.295334587
11,1410.886562,88,Modern,Unfertilized,3,Early_Vegetative,1.2548,0.0012548,1.770380458
4,2135.403849,89,Modern,Unfertilized,3,Early_Vegetative,0.6771,0.0006771,1.445881946
13,1777.750251,90,Modern,Unfertilized,3,Early_Vegetative,0.7251,0.0007251,1.289046707
3,1926.395556,91,Modern,Unfertilized,3,Early_Vegetative,0.8685,0.0008685,1.67307454
26,1867.106043,20,Wild,Fertilized,6,Late_Flower,5.3752,0.0053752,10.0360684
