Sample_ID,Exudate,P_Source,Bacteria,Dilution,Replicate,Halo_Dim,Col_Dim,P_index_96,Halo_dim_48,Col_dim_48,P_index_48
4,Trehalose,TCP,Azospirillium,-6,1,0.359,0.197,1.822335025,,,#DIV/0!
5,Trehalose,TCP,Azospirillium,-6,2,0.364,0.199,1.829145729,,,#DIV/0!
6,Trehalose,TCP,Azospirillium,-6,3,0.451,0.176,2.5625,,,#DIV/0!
10,1-Mono-Palmitin,TCP,Azospirillium,-6,1,0.66,0.561,1.176470588,0.275,0.245,1.12
11,1-Mono-Palmitin,TCP,Azospirillium,-6,2,0.569,0.456,1.247807018,0.238,0.197,1.21
12,1-Mono-Palmitin,TCP,Azospirillium,-6,3,0.392,0.303,1.293729373,0.304,0.256,1.19
16,Glycerol_Monostearate,TCP,Azospirillium,-6,1,0.225,0.181,1.603053435,,,#DIV/0!
17,Glycerol_Monostearate,TCP,Azospirillium,-6,2,0.507,0.423,2.239892183,0.227,0.185,1.23
18,Glycerol_Monostearate,TCP,Azospirillium,-6,3,0.252,0.202,1.247524752,0.242,0.196,1.23
22,1_Stearoyl_Rac_Glycerol,TCP,Azospirillium,-6,1,0.234,0.124,1.887096774,,,#DIV/0!
23,1_Stearoyl_Rac_Glycerol,TCP,Azospirillium,-6,2,0.271,0.207,1.309178744,,,#DIV/0!
24,1_Stearoyl_Rac_Glycerol,TCP,Azospirillium,-6,3,0.291,0.202,1.440594059,,,#DIV/0!
28,Lauric_Acid,TCP,Azospirillium,-6,1,,,,,,#DIV/0!
29,Lauric_Acid,TCP,Azospirillium,-6,2,,,,,,#DIV/0!
30,Lauric_Acid,TCP,Azospirillium,-6,3,,,,,,#DIV/0!
34,Dodecanol,TCP,Azospirillium,-6,1,,,,,,#DIV/0!
35,Dodecanol,TCP,Azospirillium,-6,2,,,,,,#DIV/0!
36,Dodecanol,TCP,Azospirillium,-6,3,,,,,,#DIV/0!
40,Trehalose,Phytin,Azospirillium,-6,1,0.142,0.075,1.893333333,,,#DIV/0!
41,Trehalose,Phytin,Azospirillium,-6,2,0.191,0.1,1.91,,,#DIV/0!
42,Trehalose,Phytin,Azospirillium,-6,3,0.43,0.152,2.828947368,,,
42,Trehalose,Phytin,Azospirillium,-6,1,,,,,,#DIV/0!
46,1-Mono-Palmitin,Phytin,Azospirillium,-6,1,0.63,0.393,1.603053435,0.313,0.136,2.3
47,1-Mono-Palmitin,Phytin,Azospirillium,-6,1,1.01,0.327,3.088685015,,,
48,1-Mono-Palmitin,Phytin,Azospirillium,-6,3,0.831,0.371,2.239892183,,,#DIV/0!
52,Glycerol_Monostearate,Phytin,Azospirillium,-6,1,0.383,0.13,2.946153846,0.617,0.285,2.16
53,Glycerol_Monostearate,Phytin,Azospirillium,-6,2,0.382,0.096,3.979166667,,,#DIV/0!
54,Glycerol_Monostearate,Phytin,Azospirillium,-6,3,0.487,0.147,3.31292517,,,#DIV/0!
58,1_Stearoyl_Rac_Glycerol,Phytin,Azospirillium,-6,1,0.451,0.153,2.947712418,,,#DIV/0!
59,1_Stearoyl_Rac_Glycerol,Phytin,Azospirillium,-6,2,0.44,0.153,2.875816993,,,#DIV/0!
60,1_Stearoyl_Rac_Glycerol,Phytin,Azospirillium,-6,3,0.432,0.126,3.428571429,,,#DIV/0!
64,Lauric_Acid,Phytin,Azospirillium,-6,1,,,,,,#DIV/0!
65,Lauric_Acid,Phytin,Azospirillium,-6,2,,,,,,#DIV/0!
66,Lauric_Acid,Phytin,Azospirillium,-6,3,,,,,,#DIV/0!
71,None,Phytin,Azospirillium,-6,2,0.347,0.19,1.826315789,,,#DIV/0!
72,None,Phytin,Azospirillium,-6,3,0.339,0.2,1.695,,,#DIV/0!
72,None,Phytin,Azospirillium,-6,1,,,,,,
76,None,TCP,Azospirillium,-6,1,0,0.263,0,,,#DIV/0!
77,None,TCP,Azospirillium,-6,2,0.266,0.258,1.031007752,,,#DIV/0!
78,None,TCP,Azospirillium,-6,3,0,0.235,0,,,#DIV/0!
78,None,TCP,Azospirillium,-6,1,,,,,,
82,Dodecanol,Phytin,Azospirillium,-6,1,,,,,,#DIV/0!
83,Dodecanol,Phytin,Azospirillium,-6,2,,,,,,#DIV/0!
84,Dodecanol,Phytin,Azospirillium,-6,3,,,,,,#DIV/0!
