 ,Sample Id,"P 213.617
(mg/L)","P 213.617
(mg/L) - Blank",Amount of Plant Material DF,P_mg_kg,,Tube_No,Tube_Rack,Weight_g,Sample_ID,Replicate,Fertilization,Domestication,Biomass_g,Biomass_kg,P_Uptake
9,76,10.894,9.876,8,1975.120618,,36,B,0.1248,1,1,F_F,No_Plant,0.4392,0.0004392,0.867472975
10,77,10.207,9.188,8,1837.594923,,37,B,0.1257,2,2,F_F,No_Plant,0.2699,0.0002699,0.49596687
11,78,12.869,11.850,8,2369.972341,,38,B,0.1254,3,3,F_F,No_Plant,0.3056,0.0003056,0.724263547
12,79,8.691,7.673,8,1534.54628,,39,B,0.1255,4,4,F_F,No_Plant,0.3166,0.0003166,0.485837352
13,80,1.019,0.000,8,,Blank,40,B,Blank,Blank,Blank,Blank,Blank,,,
14,81,13.723,12.704,8,2540.766466,,1,C,0.1255,5,5,F_F,No_Plant,0.2307,0.0002307,0.586154824
15,82,10.870,9.851,8,1970.220461,,2,C,0.1253,6,6,F_F,No_Plant,0.5412,0.0005412,1.066283314
16,83,10.339,9.320,8,1864.066155,,3,C,0.1255,7,7,F_F,No_Plant,0.4842,0.0004842,0.902580832
17,84,13.056,12.037,8,2407.467719,,4,C,0.1247,10,2,F_F,Wild,0.2957,0.0002957,0.711888204
18,85,11.302,10.283,8,2056.646181,,5,C,0.1257,11,3,F_F,Wild,0.2628,0.0002628,0.540486616
19,86,13.356,12.337,8,2467.407768,,6,C,0.1257,12,4,F_F,Wild,0.259,0.000259,0.639058612
20,87,12.620,11.601,8,2320.161449,,7,C,0.1256,13,5,F_F,Wild,0.18,0.00018,0.417629061
21,88,14.725,13.706,8,2741.257687,,8,C,0.1251,14,6,F_F,Wild,0.2793,0.0002793,0.765633272
22,89,11.084,10.065,8,2012.948812,,9,C,0.1249,15,7,F_F,Wild,0.3147,0.0003147,0.633474991
23,90,11.684,10.665,8,2133.050383,,10,C,0.1245,19,3,F_F,Modern,0.1401,0.0001401,0.298840359
24,91,18.298,17.279,8,3455.750028,,11,C,0.1251,21,5,F_F,Modern,0.1368,0.0001368,0.472746604
25,92,18.377,17.358,8,3471.631906,,12,C,0.1247,20,4,F_F,Modern,0.1227,0.0001227,0.425969235
26,93,19.716,18.697,8,3739.360848,,13,C,0.1254,22&23,6_7,F_F,Modern,0.1094,0.0001094,0.409086077
27,94,9.895,8.876,8,1775.282586,,14,C,0.1254,26,2,F_U,No_Plant,0.2499,0.0002499,0.443643118
28,95,11.176,10.157,8,2031.37248,,15,C,0.1254,27,3,F_U,No_Plant,0.1795,0.0001795,0.36463136
29,96,8.259,7.240,8,1448.083841,,16,C,0.1254,28,4,F_U,No_Plant,0.4082,0.0004082,0.591107824
30,97,8.739,7.720,8,1543.91916,,17,C,0.1254,29,5,F_U,No_Plant,0.2556,0.0002556,0.394625737
31,98,7.771,6.752,8,1350.315647,,18,C,0.1247,30,6,F_U,No_Plant,0.2795,0.0002795,0.377413223
32,99,8.184,7.165,8,1432.970923,,19,C,0.1255,32,8,F_U,No_Plant,0.2011,0.0002011,0.288170453
33,100,7.346,6.327,8,1265.442393,,20,C,0.125,35,3,F_U,Wild,0.1637,0.0001637,0.20715292
34,101,8.499,7.480,8,1496.026309,,21,C,0.1247,36,4,F_U,Wild,0.293,0.000293,0.438335709
35,102,8.950,7.931,8,1586.202962,,22,C,0.1255,37,5,F_U,Wild,0.2895,0.0002895,0.459205758
36,103,8.171,7.152,8,1430.404053,,23,C,0.1252,39,7,F_U,Wild,0.5304,0.0005304,0.75868631
37,104,8.373,7.354,8,1470.750623,,24,C,0.1249,40,8,F_U,Wild,0.3382,0.0003382,0.497407861
38,105,11.817,10.798,8,2159.610454,,25,C,0.1249,41,1,F_U,Modern,0.1375,0.0001375,0.296946437
39,106,13.265,12.246,8,2449.15312,,26,C,0.1245,42,2,F_U,Modern,0.1383,0.0001383,0.338717876
40,107,11.029,10.010,8,2002.025746,,27,C,0.1257,44,4,F_U,Modern,0.1635,0.0001635,0.327331209
41,108,11.377,10.358,8,2071.540604,,28,C,0.1252,45,5,F_U,Modern,0.2082,0.0002082,0.431294754
42,109,10.188,9.169,8,1833.703958,,29,C,0.1255,46,6,F_U,Modern,0.1583,0.0001583,0.290275337
43,110,16.438,15.419,8,3083.80358,,30,C,0.1259,48,8,F_U,Modern,0.1444,0.0001444,0.445301237
44,111,8.442,7.423,8,1484.569044,,31,C,0.1248,49,1,U_F,No_Plant,0.3401,0.0003401,0.504901932
45,112,9.748,8.729,8,1745.75675,,32,C,0.1252,50,2,U_F,No_Plant,0.2312,0.0002312,0.403618961
46,113,9.329,8.310,8,1661.993253,,33,C,0.1249,51,3,U_F,No_Plant,0.3517,0.0003517,0.584523027
47,114,10.359,9.340,8,1868.087658,,34,C,0.1255,52,4,U_F,No_Plant,0.2368,0.0002368,0.442363157
48,115,11.444,10.425,8,2085.072832,,35,C,0.124,53,5,U_F,No_Plant,0.492,0.000492,1.025855833
50,116,9.929,8.910,8,1781.942316,,36,C,0.1251,54,6,U_F,No_Plant,0.2798,0.0002798,0.49858746
51,117,8.675,7.656,8,1531.134575,,37,C,0.1251,55,7,U_F,No_Plant,0.237,0.000237,0.362878894
52,118,10.563,9.544,8,1908.720726,,38,C,0.1252,56,8,U_F,No_Plant,0.279,0.000279,0.532533083
53,119,9.451,8.432,8,1686.42342,,39,C,0.1247,57,1,U_F,Wild,0.2066,0.0002066,0.348415078
54,120,1.019,0.000,8,,Blank,40,C,Blank,Blank,,,,,,
55,121,10.881,9.859,8,1971.719398,,41,D,0.125,58,2,U_F,Wild,0.23,0.00023,0.453495462
56,122,12.037,11.015,8,2203.035325,,42,D,0.1257,59,3,U_F,Wild,0.1585,0.0001585,0.349181099
57,123,9.432,8.409,8,1681.88902,,43,D,0.1252,60,4,U_F,Wild,0.2757,0.0002757,0.463696803
58,124,9.673,8.651,8,1730.194692,,44,D,0.1256,61,5,U_F,Wild,0.3242,0.0003242,0.560929119
59,125,14.092,13.069,8,2613.880159,,45,D,0.1249,62,6,U_F,Wild,0.1975,0.0001975,0.516241331
60,126,9.782,8.760,8,1752.007434,,46,D,0.1249,65,1,U_F,Modern,0.4001,0.0004001,0.700978174
61,127,12.251,11.229,8,2245.715892,,47,D,0.1251,66,2,U_F,Modern,0.4003,0.0004003,0.898960072
62,128,12.352,11.330,8,2265.993672,,48,D,0.1251,67,3,U_F,Modern,0.3804,0.0003804,0.861983993
63,129,11.273,10.251,8,2050.256154,,49,D,0.1251,69,5,U_F,Modern,0.1835,0.0001835,0.376222004
64,130,11.572,10.550,8,2109.944066,,50,D,0.1256,72,8,U_F,Modern,0.3514,0.0003514,0.741434345
65,131,7.319,6.296,8,1259.268197,,51,D,0.1246,79,7,U_U,No_Plant,0.178,0.000178,0.224149739
66,132,6.997,5.975,8,1195.041023,,52,D,0.1258,82,2,U_U,Wild,0.2504,0.0002504,0.299238272
67,133,5.198,4.176,8,835.134835,,53,D,0.1248,83,3,U_U,Wild,0.1382,0.0001382,0.115415634
68,134,5.646,4.624,8,924.7457751,,54,D,0.1253,89,1,U_U,Modern,0.2311,0.0002311,0.213708749
69,135,7.387,6.365,8,1272.921922,,55,D,0.1248,90,2,U_U,Modern,0.2489,0.0002489,0.316830266
70,136,6.109,5.087,8,1017.393037,,56,D,0.1245,92,4,U_U,Modern,0.2708,0.0002708,0.275510034
71,137,8.435,7.413,8,1482.57417,,57,D,0.1255,95,7,U_U,Modern,0.1847,0.0001847,0.273831449
72,138,6.768,5.746,8,1149.214053,,58,D,0.1256,96,8,U_U,Modern,0.1771,0.0001771,0.203525809
73,139,7.123,6.101,8,1220.181834,,59,D,0.1254,84-87,4_7,U_U,Wild,0.03745,0.00003745,0.04569581
74,140,6.286,5.264,8,1052.836409,,60,D,0.1255,76-77,4_5,U_U,No_Plant,0.1156,0.0001156,0.121707889
75,141,1.022,0.000,8,,Blank,61,D,Blank,Blank,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
