Metabolite,Count_Domesticated.Tomato,Count_Wild.Tomato,Mean_Domesticated.Tomato,Mean_Wild.Tomato,Fold_change_Domesticated.Tomato_vs_Wild.Tomato,P_value_A_Domesticated.Tomato_vs_Wild.Tomato,Flag_A_Domesticated.Tomato_vs_Wild.Tomato
"1-(2-hydroxyethyl)-2,2,6,6-tetramethyl-4-piperidinol*",5,3,15.40979798,17.34194022,-1.932142242,0.416014001,0
"1,2,3-butanetriol*",3,2,12.79550605,12.58561902,0.209887031,0.859165807,0
1-dodecanol*,5,4,16.51200104,15.35170143,1.160299606,0.03525466,1
1-monopalmitin*,5,4,18.71425695,21.16116312,-2.446906166,0.023383729,-1
"2,3,4-trihydroxybutyric acid *",5,3,13.53980257,13.04431274,0.495489831,0.527024187,0
"2,4-di-tert-butylphenol*",5,4,15.11705688,16.0809795,-0.963922622,0.179174291,0
2-ethylhexyl dihydrogen phosphate*,5,3,15.7377965,15.05022569,0.687570802,0.625148595,0
2-monostearin*,5,4,15.26772835,16.25366666,-0.985938311,0.094737524,0
2-palmitoylglycerol*,5,4,14.79160322,16.0870492,-1.29544598,0.06369154,0
"3,4-dihydroxybutanoic acid*",5,4,14.79733993,13.63834988,1.15899005,0.037256123,1
3-hydroxybutyric acid,5,3,18.37170909,15.02656602,3.345143071,0.005049981,1
4-aminobutanoic acid,5,2,13.53435589,13.69763647,-0.163280586,0.836634239,0
4-hydroxybenzoic acid (p-salicylic acid),5,2,14.59521637,14.56649403,0.028722347,0.977246429,0
alpha-ketoglutaric acid,5,3,17.54142012,15.38102446,2.16039565,0.066828606,0
benzoic acid,5,4,18.86649167,18.89241054,-0.02591887,0.961483155,0
bisphenol A,5,2,15.06187124,13.85193301,1.209938229,0.358240283,0
capric acid,5,2,12.69794896,12.56091041,0.137038553,0.885814805,0
carbonate ion,5,4,18.272013,18.20016851,0.071844487,0.934526473,0
citric acid,5,2,15.93935089,15.95945628,-0.02010539,0.96412943,0
D-fructose,5,3,15.604213,15.60192476,0.002288236,0.998245238,0
D-glucose,5,3,16.03795261,16.8210315,-0.783078893,0.436843711,0
ethyl glucuronide,4,2,13.18302745,12.52986711,0.653160337,0.621676365,0
fumaric acid,5,3,18.14459783,17.70138912,0.443208709,0.515190442,0
glyceric acid,5,3,15.19671986,15.3817989,-0.18507904,0.67529468,0
glycerol,5,4,18.55307198,18.2925041,0.260567875,0.738622536,0
glycerol 3-phosphate,5,2,16.75307495,16.16397308,0.589101871,0.309737693,0
glycerol monostearate*,5,4,21.38750988,24.22233285,-2.834822973,0.0127912,-1
glycolic acid,5,4,16.02777094,15.9547751,0.072995837,0.903664177,0
iminodiacetic acid,5,2,14.80035465,13.83558853,0.964766126,0.252219196,0
isophthalic acid*,5,3,19.72109869,20.84689862,-1.125799937,0.157442118,0
lactic acid,5,4,16.88712598,16.74207371,0.145052277,0.500778386,0
lauric acid,5,4,15.64343559,13.52193108,2.121504509,0.002980281,1
L-glutamic acid,5,2,15.61640096,13.4014924,2.21490856,0.175518351,0
L-phenylalanine,5,2,15.20156121,14.03205238,1.169508831,0.620622712,0
L-pyroglutamic acid,5,3,18.17483532,17.96140168,0.213433639,0.804306614,0
malic acid,5,3,18.80444869,17.01841339,1.786035294,0.031773205,1
myo-inositol,5,3,16.73941359,16.99541415,-0.256000566,0.558560953,0
myristic acid,5,2,16.93014137,14.44196312,2.488178245,0.40604377,0
nonanoic acid,5,4,14.61846632,14.75507081,-0.136604491,0.851221165,0
palmitic acid,5,4,19.62033752,18.04745688,1.572880642,0.382764711,0
pentanedioic acid*,5,2,17.08748964,14.03567202,3.051817621,0.101308126,0
phosphoric acid,5,4,23.74644418,24.32579485,-0.579350671,0.713284048,0
phthalic acid,5,3,15.79147805,16.95764575,-1.166167706,0.083721122,0
porphine,5,3,15.62065951,15.87944451,-0.258784999,0.623509478,0
sorbitol,5,4,13.83699611,14.73306553,-0.896069424,0.192533969,0
stearic acid,5,4,18.95174804,18.13355071,0.818197329,0.666824078,0
succinic acid,5,3,18.97898807,17.31857175,1.660416314,0.032411411,1
sucrose,4,4,14.56173575,17.99291475,-3.431179001,0.102264803,0
sulfate,5,4,15.61096958,14.1243098,1.486659777,0.304182113,0
trehalose,4,3,13.47510727,18.72611103,-5.251003765,0.007097143,-1
"tris(2,4-di-tert-butylphenyl) phosphate*",5,3,14.91278705,15.42899813,-0.516211082,0.487751108,0
urea,5,3,18.24261628,19.67977716,-1.437160886,0.305784992,0
