Name,Count_Domesticated.Tomato,Count_Wild.Tomato,Mean_Domesticated.Tomato,Mean_Wild.Tomato,Fold_change_Domesticated.Tomato_vs_Wild.Tomato,P_value_A_Domesticated.Tomato_vs_Wild.Tomato,P_value_G_Domesticated.Tomato_vs_Wild.Tomato,Flag_A_Domesticated.Tomato_vs_Wild.Tomato,Flag_G_Domesticated.Tomato_vs_Wild.Tomato
Lactate,6,4,30.55158424,30.8658172,-0.314232961,0.246551947,1,0,0
GLYCERATE,6,4,26.58694668,28.47877266,-1.891825982,0.173794448,1,0,0
Maleic acid,6,4,29.12263765,28.74716026,0.37547739,0.773452157,1,0,0
Succinic acid,6,4,27.88502337,31.74786536,-3.862841989,0.035941808,1,-1,0
Glutaric acid,6,4,26.18127947,24.40720622,1.774073249,0.068899667,1,0,0
Aspartic acid,6,4,23.74427946,24.09706886,-0.352789408,0.526199988,1,0,0
Salicylic acid,6,4,24.37007271,25.58297716,-1.212904445,0.09113647,1,0,0
L-Glutamic acid,6,4,24.89690555,23.74970792,1.147197629,0.152535178,1,0,0
Phenylalanine,6,4,24.34122776,23.94625664,0.394971117,0.798573064,1,0,0
D-PANTOTHENIC ACID,6,4,23.74771275,24.39187301,-0.644160255,0.321733017,1,0,0
"alpha,alpha-Trehalose",6,4,21.66948186,21.66909207,0.000389788,0.999482394,1,0,0
Methanesulfonic acid,6,4,30.76986892,29.90312316,0.866745764,0.020203075,1,1,0
Pyrophosphoric acid,6,4,22.21704383,25.24644788,-3.029404053,0.244511251,1,0,0
N-Acetylglutamate,6,4,23.17053597,23.11765606,0.052879908,0.935141975,1,0,0
2-Naphthalenesulfonic acid,6,4,24.32124418,25.89287385,-1.571629672,0.115018763,1,0,0
1-Dodecanesulfonic acid,6,4,25.07369277,24.99842144,0.075271323,0.920891956,1,0,0
Myristyl sulfate,6,4,31.67499399,32.72808263,-1.053088641,0.246915609,1,0,0
4-Dodecylbenzenesulfonic acid,6,4,32.63999306,31.73876474,0.901228313,0.020963732,1,1,0
o-Toluic acid,6,4,24.13323758,24.62221546,-0.488977872,0.663634241,1,0,0
Pimelic acid,6,4,24.28956804,23.37594844,0.91361961,0.073042049,1,0,0
Phthalic acid,6,4,28.41183999,28.9393203,-0.527480307,0.564096815,1,0,0
URACIL,6,4,25.58889164,25.93658904,-0.347697398,0.753643074,1,0,0
THYMINE,6,4,23.5767936,24.74075224,-1.16395864,0.429981372,1,0,0
Adipic acid,6,4,26.16076138,24.13266747,2.02809391,0.082718997,1,0,0
Vanillin,6,4,25.84698272,25.43419952,0.412783202,0.421607464,1,0,0
3-SULFINO-L-ALANINE,6,4,26.54304734,25.92521524,0.617832103,0.302510135,1,0,0
Decanoic acid,6,4,23.18600079,24.1413104,-0.955309611,0.443268906,1,0,0
Aconitic acid,6,4,25.9941135,26.91960363,-0.925490127,0.077136283,1,0,0
QUINATE,6,4,27.68873088,28.4137169,-0.724986018,0.378861109,1,0,0
N-Acetylneuraminate,6,4,20.30337597,20.65979731,-0.356421336,0.76941063,1,0,0
Beta-Hydroxybutyric acid,6,4,29.70337521,28.81419954,0.889175665,0.290577,1,0,0
(±)-Malic Acid,6,4,26.21043474,25.53455295,0.675881791,0.155859179,1,0,0
nonanoic acid,6,4,24.09021813,23.80136597,0.288852168,0.802626462,1,0,0
D-Glucose,6,4,23.85507933,24.83886472,-0.983785392,0.140975099,1,0,0
Sebacic acid,6,4,23.6547872,22.99270743,0.662079768,0.173366287,1,0,0
Myristic acid,6,4,25.36105761,24.23683795,1.124219657,0.454890558,1,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
