Name,Count_Domesticated.Tomato,Count_Wild.Tomato,Mean_Domesticated.Tomato,Mean_Wild.Tomato,Fold_change_Domesticated.Tomato_vs_Wild.Tomato,P_value_A_Domesticated.Tomato_vs_Wild.Tomato,P_value_G_Domesticated.Tomato_vs_Wild.Tomato,Flag_A_Domesticated.Tomato_vs_Wild.Tomato,Flag_G_Domesticated.Tomato_vs_Wild.Tomato
Pyroglutamate,6,4,22.99403032,23.9031072,-0.909076883,0.388181713,1,0,0
Cartinine,6,4,23.57021687,25.54299278,-1.972775909,0.078342949,1,0,0
Phosphorylcholine,6,4,24.08531453,23.42408185,0.661232683,0.195683225,1,0,0
Acetyl-D-carnitine,6,4,20.45717884,24.22240982,-3.765230982,0.026096755,1,-1,0
Cyclohexylamine,6,4,26.06976101,26.17669954,-0.106938527,0.965333354,1,0,0
CYTOSINE,6,4,27.62339439,27.89549746,-0.272103068,0.757335297,1,0,0
Prolinamide,6,4,25.75778055,26.50860567,-0.750825112,0.559382339,1,0,0
Melamine,6,4,27.47035768,27.57872036,-0.108362675,0.925342736,1,0,0
L-Pyroglutamic acid,6,4,24.17392592,24.49710309,-0.323177174,0.781927145,1,0,0
Trigonelline,6,4,24.48457399,25.08197293,-0.597398944,0.680549709,1,0,0
Triethanolamine,6,4,23.41343174,24.07717121,-0.663739463,0.480598196,1,0,0
"2,2,6,6-Tetramethyl-4-piperidinol",6,4,25.87883551,28.07130159,-2.192466085,0.104093182,1,0,0
Methionine sulfoxide,6,4,24.44678092,24.4667765,-0.01999558,0.987041076,1,0,0
Methionine sulfone,6,4,20.89324678,20.76406264,0.129184142,0.914699898,1,0,0
N6-Acetyl-L-lysine,6,4,22.39641829,23.28680556,-0.890387273,0.410955084,1,0,0
Triisopropanolamine,6,4,26.56782126,29.25694882,-2.689127557,0.039241939,1,-1,0
Dexpanthenol,6,4,23.35991272,24.1952347,-0.835321986,0.574697999,1,0,0
Glycerophosphocholine,6,4,24.92259708,24.48748174,0.435115339,0.403081879,1,0,0
Didecyldimethylammonium,6,4,22.32463612,22.79989042,-0.475254293,0.66609416,1,0,0
Choline,6,4,28.72692146,28.69839237,0.028529093,0.959290211,1,0,0
Caprolactam,6,4,23.10940561,23.62563007,-0.51622446,0.631708368,1,0,0
L-Proline,6,4,25.1221448,24.75455008,0.367594723,0.714345924,1,0,0
Pipecolic acid,6,4,22.71187518,23.23587549,-0.524000309,0.723205088,1,0,0
Creatine,6,4,22.29527737,23.2395173,-0.94423993,0.424894094,1,0,0
Ethyl 4-(dimethylamino)butanoate,6,4,22.62631202,22.09012016,0.536191859,0.659505246,1,0,0
7-Methylguanine,6,4,24.57730445,23.83335975,0.743944694,0.551639735,1,0,0
Triisopropanolamine cyclic borate,6,4,22.93955546,24.17267614,-1.233120677,0.344753039,1,0,0
Diethanolamine,6,4,22.08100788,21.75671164,0.324296238,0.851350114,1,0,0
HISTAMINE,6,4,22.96337316,22.41890393,0.544469232,0.618033406,1,0,0
L-Glutamic acid,6,4,25.30029097,25.23033229,0.069958679,0.961871411,1,0,0
Laurate,6,4,20.75330795,19.79714954,0.956158402,0.121303759,1,0,0
QUINATE,6,4,22.85061858,24.15670732,-1.306088745,0.375028008,1,0,0
D-PANTOTHENIC ACID,6,4,22.05641165,21.07840647,0.978005183,0.284651077,1,0,0
Myristic acid,6,4,21.67928548,19.89297294,1.786312548,0.028722079,1,1,0
N-Acetylneuraminate,6,4,21.23004664,20.9819763,0.248070339,0.830989051,1,0,0
Aspartic acid,6,4,23.72629301,22.46400368,1.26228933,0.080880942,1,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
