Name,Count_Domesticated.Tomato,Count_Wild.Tomato,Mean_Domesticated.Tomato,Mean_Wild.Tomato,Fold_change_Domesticated.Tomato_vs_Wild.Tomato,P_value_A_Domesticated.Tomato_vs_Wild.Tomato,P_value_G_Domesticated.Tomato_vs_Wild.Tomato,Flag_A_Domesticated.Tomato_vs_Wild.Tomato,Flag_G_Domesticated.Tomato_vs_Wild.Tomato
Phenol,6,4,19.71222887,20.09693857,-0.384709703,0.494187348,1,0,0
GLYCERATE,6,4,21.82254531,23.66528534,-1.842740028,0.007001834,1,-1,0
METHYLMALONATE.[Peak.1],6,4,24.22961383,24.72689204,-0.497278206,0.481101633,1,0,0
ETHYLMALONIC ACID,6,4,25.0704562,24.31154345,0.758912745,0.358314551,1,0,0
ASPARTATE,6,4,22.38251778,24.26938523,-1.886867446,0.019897273,1,-1,0
(R)-MALATE,6,4,27.26636279,27.73391072,-0.467547931,0.460913113,1,0,0
SALICYLATE,6,4,24.14257427,24.57287867,-0.430304394,0.396618492,1,0,0
Adipate,6,4,26.20896916,24.63800435,1.570964808,0.102160873,1,0,0
Citramalic acid.[Peak.1],6,4,23.68086933,24.46091422,-0.780044889,0.053699706,1,0,0
Butanoic acid.[Peak.2],6,4,24.26836224,24.27938948,-0.011027245,0.986629899,1,0,0
N-ACETYL-L-LEUCINE,6,4,21.66090494,21.98753811,-0.326633175,0.705988438,1,0,0
DEHYDROASCORBATE.[Peak.1],6,4,22.97100324,25.57555235,-2.60454911,0.001585389,1,-1,0
SUBERIC ACID,6,4,24.77449291,24.42428098,0.350211927,0.438067788,1,0,0
Sugars-Alcohol-Hexoses (GALACTITOL),6,4,22.66298453,24.06660241,-1.403617875,0.346331992,1,0,0
AZELAIC ACID,6,4,26.98187166,26.39982024,0.582051428,0.170299943,1,0,0
CITRATE.[Peak.1],6,4,24.33990175,25.65776947,-1.317867713,0.049386355,1,-1,0
N-Acetylphenylalanine,6,4,20.71398393,21.81883928,-1.104855352,0.512283357,1,0,0
N-ACETYL-D-TRYPTOPHAN,6,4,17.54022038,18.50824109,-0.968020701,0.676068122,1,0,0
CHENODEOXYCHOLATE,6,4,22.52565309,21.94144032,0.584212771,0.716679498,1,0,0
Rutin,6,4,18.48025947,17.22308237,1.257177105,0.318674993,1,0,0
Phosphoric acid,6,4,26.10409952,30.42571301,-4.32161349,0.008076628,1,-1,0
Leucinic acid,6,4,21.28399168,20.44349149,0.840500196,0.187800882,1,0,0
L-Threonic acid,6,4,22.79179776,24.20272999,-1.410932231,0.073626847,1,0,0
Sebacic acid,6,4,24.15947663,24.68206453,-0.5225879,0.12416954,1,0,0
Monobutyl phthalate,6,4,23.34553913,22.7753477,0.570191426,0.460887651,1,0,0
Dodecanedioic acid,6,4,22.79264667,22.61085307,0.181793607,0.699273775,1,0,0
2-Hydroxytetradecanoic acid,6,4,23.57473469,23.3656289,0.209105799,0.791447631,1,0,0
Monobenzyl phthalate,6,4,22.13270747,20.00319323,2.129514231,0.048794966,1,1,0
Tetradecanedioic acid,6,4,22.09495049,22.00283045,0.092120042,0.851118779,1,0,0
16-Hydroxyhexadecanoic acid,6,4,21.61795457,20.41872926,1.199225305,0.089366396,1,0,0
hexadecandioic acid,6,4,21.57133709,21.52728339,0.044053703,0.962090424,1,0,0
"2-[(5-Bromo-4-chloro-1H-indol-3-yl)oxy]-6-(hydroxymethyl)tetrahydro-2H-pyran-3,4,5-triol",6,4,18.21325246,18.29623513,-0.082982668,0.964147062,1,0,0
2-Naphthalenesulfonic acid,6,4,20.56548525,20.88950296,-0.32401771,0.714325252,1,0,0
2-[(carboxymethyl)(methyl)amino]-5-methoxybenzoic acid,6,4,20.60993183,19.42491464,1.185017187,0.075151047,1,0,0
Citrinin,6,4,22.13521493,20.56109512,1.574119819,0.110626295,1,0,0
METHYLMALONATE.[Peak.2],6,4,25.32903586,25.47778975,-0.148753889,0.813368072,1,0,0
Benzoic acid.[Peak.2],6,4,22.9959422,23.96218027,-0.966238066,0.042580232,1,-1,0
Benzoic acid.[Peak.1],6,4,22.13428335,23.70650612,-1.572222762,0.003104632,1,-1,0
5-OXO-L-PROLINE.[Peak.2],6,4,23.0416633,25.04683529,-2.005171993,0.018902037,1,-1,0
5-OXO-L-PROLINE.[Peak.1],6,4,23.16653778,25.11078117,-1.944243385,0.01904538,1,-1,0
Citraconic acid,6,4,23.64648516,24.41839599,-0.771910829,0.073856567,1,0,0
"3,6-Dioxaheptanoic acid",6,4,21.02271121,21.94039796,-0.917686754,0.238774947,1,0,0
4-ACETAMIDOBUTANOATE.[Peak.2],6,4,23.49471916,22.18779474,1.30692443,0.273836428,1,0,0
4-ACETAMIDOBUTANOATE.[Peak.1],6,4,22.04025485,21.55876608,0.481488776,0.731813113,1,0,0
N-Acetylproline,6,4,20.35869417,20.9093695,-0.550675337,0.353180767,1,0,0
URIDINE,6,4,19.41744276,22.33219606,-2.914753296,0.026026609,1,-1,0
CHOLATE,6,4,18.97278916,18.29467573,0.678113431,0.606051218,1,0,0
(S)-LACTATE.[Peak.1],6,4,22.99501501,24.61433138,-1.619316379,0.024957558,1,-1,0
Glutamic Acid,6,4,22.87945527,23.20265824,-0.323202964,0.811578942,1,0,0
Phenylpyruvate,6,4,20.5774774,22.33092455,-1.753447143,0.067298766,1,0,0
3-Indoleacetic Acid.[Peak.2],6,4,20.7884055,20.91884432,-0.130438819,0.855695789,1,0,0
