Name,Count_Domesticated.Tomato,Count_Wild.Tomato,Mean_Domesticated.Tomato,Mean_Wild.Tomato,Fold_change_Domesticated.Tomato_vs_Wild.Tomato,P_value_A_Domesticated.Tomato_vs_Wild.Tomato,P_value_G_Domesticated.Tomato_vs_Wild.Tomato,Flag_A_Domesticated.Tomato_vs_Wild.Tomato,Flag_G_Domesticated.Tomato_vs_Wild.Tomato
L-PROLINE,6,4,24.65358704,25.20107077,-0.547483726,0.519598595,1,0,0
Nicotinic acid/Niacin.[Peak.2],6,4,23.74199501,23.61953196,0.12246305,0.81546263,1,0,0
TRIGONELLINE,6,4,22.42847781,23.03269234,-0.604214531,0.552492991,1,0,0
4-GUANIDINOBUTANOATE,6,4,22.41037221,22.71381857,-0.303446357,0.714377826,1,0,0
3-Methylphenylacetic acid,6,4,22.77277035,20.19503254,2.57773781,0.008222431,1,1,0
L-HISTIDINE,6,4,19.25325774,20.4394457,-1.186187962,0.424341993,1,0,0
L-PHENYLALANINE.[Peak.2],6,4,26.69645296,24.04415542,2.652297538,0.23387715,1,0,0
L-PHENYLALANINE.[Peak.1],6,4,23.35812324,24.20318041,-0.845057163,0.356960059,1,0,0
AZELAIC ACID,6,4,22.3881514,21.92723833,0.46091307,0.331993669,1,0,0
L-ARGININE,6,4,22.33772439,22.42812823,-0.090403842,0.955250259,1,0,0
"N6,N6,N6-Trimethyl-L-lysine",6,4,19.68064748,20.08997166,-0.409324179,0.797317868,1,0,0
DETHIOBIOTIN.[Peak.1],6,4,20.1341906,19.72059605,0.413594548,0.616749978,1,0,0
Cyclohexylamine.[Peak.1],6,4,24.05340768,25.64605712,-1.592649435,0.391103824,1,0,0
Cyclohexylamine.[Peak.2],6,4,26.69156764,26.43121402,0.260353617,0.894192808,1,0,0
Caprolactam,6,4,27.95140571,30.87847868,-2.927072973,3.78E-05,1,-1,0
2-Hydroxbenxothiazole,6,4,19.45999623,19.31926231,0.140733916,0.897829321,1,0,0
"2,2,6,6-Tetramethyl-4-piperidinol",6,4,23.87210682,25.45244517,-1.580338349,0.173916114,1,0,0
Triisopropanolamine,6,4,23.68990856,26.74065256,-3.050744003,0.009593012,1,-1,0
"Decylamine, N,N-dimethyl-, N-oxide",6,4,18.6449999,20.432167,-1.787167101,0.023231997,1,-1,0
Dexpanthenol,6,4,20.5929737,21.49056919,-0.897595485,0.532568305,1,0,0
12-Aminododecanoic acid,6,4,18.59640144,18.22191949,0.374481949,0.737597171,1,0,0
Diphenylphosphinic acid,6,4,19.7443385,22.83266446,-3.088325968,0.086340538,1,0,0
"1,3-Dicyclohexylurea",6,4,22.37446094,21.7945639,0.579897042,0.531662262,1,0,0
Dodecyltrimethylammonium,6,4,21.09708469,21.68041416,-0.583329473,0.781310792,1,0,0
PEG n5,6,4,25.57600195,25.47317559,0.102826359,0.775847368,1,0,0
Bis(2-ethylhexl) amine,6,4,18.03635786,20.42125354,-2.384895681,0.127499297,1,0,0
9-Octadecenamide,6,4,21.83774937,21.81215281,0.02559656,0.983426527,1,0,0
Stearamide,6,4,23.33955134,24.05903074,-0.719479405,0.351464699,1,0,0
Tributyl citrate,6,4,23.73395242,26.50809369,-2.774141277,0.132162709,1,0,0
Dibenzylamine,6,4,19.15168802,19.68478988,-0.533101862,0.651325279,1,0,0
Triisopropanolamine cyclic borate,6,4,20.11534343,22.46134581,-2.346002379,0.097185158,1,0,0
1-Stearoylglycerol Peak 2,6,4,24.26118732,27.64971734,-3.388530027,0.015389215,1,-1,0
1-Stearoylglycerol Peak 1,6,4,22.26455488,25.64179644,-3.37724156,0.001886147,1,-1,0
Tributyl citrate acetate,6,4,20.65076714,20.3393867,0.311380436,0.743788258,1,0,0
PPG n8,6,4,22.05994449,21.60026032,0.459684174,0.4842264,1,0,0
CATECHOL.[Peak.1],6,4,25.00664887,23.25888361,1.747765257,0.244291319,1,0,0
5-AMINOPENTANOATE,6,4,26.48915049,28.26931771,-1.780167225,0.104365249,1,0,0
HOMOSERINE,6,4,20.83620998,22.09329294,-1.25708296,0.385483901,1,0,0
4-Methylbenzaldehyde,6,4,20.12982378,22.61475608,-2.484932301,0.068258273,1,0,0
5-OXO-L-PROLINE.[Peak.1],6,4,24.364821,25.99665614,-1.631835133,0.018528363,1,-1,0
4-HYDROXY-L-PROLINE,6,4,22.28992403,21.04672195,1.243202079,0.263839323,1,0,0
CREATINE,6,4,20.41703399,21.21178261,-0.794748617,0.35405363,1,0,0
LEUCINE.[Peak.2],6,4,25.81741766,27.52647054,-1.70905288,0.322697449,1,0,0
LEUCINE.[Peak.1],6,4,24.96617836,26.4160393,-1.449860943,0.267723529,1,0,0
3-UREIDOPROPIONATE.[Peak.1],6,4,19.89035672,21.41943394,-1.529077219,0.177943115,1,0,0
ASPARTATE,6,4,21.90838601,23.87394882,-1.965562804,0.005211577,1,-1,0
Hypoxanthine.[Peak.1],6,4,20.86503031,20.40420345,0.460826861,0.678927675,1,0,0
p-Anisaldehyde,6,4,19.62805904,20.31458782,-0.686528776,0.504720964,1,0,0
TYRAMINE,6,4,20.97059679,21.58666947,-0.616072685,0.447462164,1,0,0
4-ACETAMIDOBUTANOATE.[Peak.2],6,4,24.47627956,22.84257325,1.633706314,0.173114379,1,0,0
4-ACETAMIDOBUTANOATE.[Peak.1],6,4,23.27143429,21.80418963,1.467244662,0.185539698,1,0,0
DEOXYCARNITINE,6,4,20.08706214,21.98086166,-1.89379952,0.000859982,1,-1,0
L-GLUTAMINE,6,4,19.75879285,22.60774557,-2.848952719,0.04465693,1,-1,0
Glutamic acid,6,4,22.60221568,24.93903826,-2.336822585,0.086113862,1,0,0
Daminozide.[Peak.1],6,4,22.50674595,22.6176093,-0.11086335,0.895523515,1,0,0
L-CARNITINE,6,4,19.9695071,20.21685349,-0.247346395,0.858053166,1,0,0
PYRIDOXAMINE,6,4,21.82803901,22.06399861,-0.235959605,0.801472319,1,0,0
