Sample_Name,Replicate,Domestication,Fertilization,Harvest,Concentration (16S copies/g soil DW),new.16s
1,1,Wild,Fertilized,Seedling,745926185.1,42150975.4
2,2,Wild,Fertilized,Seedling,1092017718,1166440939
3,3,Wild,Fertilized,Seedling,1537242794,1645531668
4,4,Wild,Fertilized,Seedling,,1324039063
5,5,Wild,Fertilized,Seedling,1318816194,
6,6,Wild,Fertilized,Seedling,1046409646,
7,2,Wild,Fertilized,Early_Vegetative,2020188520,2157443875
8,3,Wild,Fertilized,Early_Vegetative,1792744777,2046059010
9,5,Wild,Fertilized,Early_Vegetative,2146675206,2384983654
10,6,Wild,Fertilized,Early_Vegetative,1033110928,1137246966
11,2,Wild,Fertilized,Late_Vegetative,3328609634,3688338259
12,4,Wild,Fertilized,Late_Vegetative,2776474341,3283588783
13,5,Wild,Fertilized,Late_Vegetative,1533761017,1753925110
14,6,Wild,Fertilized,Late_Vegetative,2087090459,2337574990
15,1,Wild,Fertilized,Early_Flower,4509631054,5070724986
16,2,Wild,Fertilized,Early_Flower,2717322777,3068072477
17,3,Wild,Fertilized,Early_Flower,3639647510,4074470133
18,5,Wild,Fertilized,Early_Flower,4757975058,5368729732
19,6,Wild,Fertilized,Early_Flower,2533133700,2783763813
20,1,Wild,Fertilized,Late_Flower,1897033311,2134609174
21,2,Wild,Fertilized,Late_Flower,3362243826,3781553738
22,3,Wild,Fertilized,Late_Flower,3241472256,3685832260
23,4,Wild,Fertilized,Late_Flower,3204832296,3730878010
24,5,Wild,Fertilized,Late_Flower,2356966590,2670375819
25,1,Wild,Unfertilized,Seedling,1382511856,1542118598
26,2,Wild,Unfertilized,Seedling,817572901.9,831392517.2
27,3,Wild,Unfertilized,Seedling,,
28,4,Wild,Unfertilized,Seedling,1118300883,1144384837
29,1,Wild,Unfertilized,Early_Vegetative,2183752871,2456721980
30,2,Wild,Unfertilized,Early_Vegetative,1044040846,1076029397
31,3,Wild,Unfertilized,Early_Vegetative,950709223.7,41549475.22
32,5,Wild,Unfertilized,Early_Vegetative,,
33,6,Wild,Unfertilized,Early_Vegetative,626406709,45757978.05
34,1,Wild,Unfertilized,Late_Vegetative,705142592.4,46283261.99
35,2,Wild,Unfertilized,Late_Vegetative,821974618,41039602.02
36,4,Wild,Unfertilized,Late_Vegetative,,
37,5,Wild,Unfertilized,Late_Vegetative,,
38,6,Wild,Unfertilized,Late_Vegetative,757373539.1,832022605.6
39,2,Wild,Unfertilized,Early_Flower,1353394381,1503718856
40,3,Wild,Unfertilized,Early_Flower,1270129838,1352058781
41,4,Wild,Unfertilized,Early_Flower,1876126513,2075297703
42,5,Wild,Unfertilized,Early_Flower,2299768640,2542573621
43,6,Wild,Unfertilized,Early_Flower,,
44,1,Wild,Unfertilized,Late_Flower,2118248087,2321453569
45,2,Wild,Unfertilized,Late_Flower,2244019938,2408495730
46,3,Wild,Unfertilized,Late_Flower,3905051777,4099194168
47,4,Wild,Unfertilized,Late_Flower,1544614801,1666159588
48,5,Wild,Unfertilized,Late_Flower,1418816968,1622913008
49,6,Wild,Unfertilized,Late_Flower,1311110767,1463281108
50,1,Modern,Fertilized,Seedling,1695273473,1788811746
51,2,Modern,Fertilized,Seedling,1487242699,1649874035
52,3,Modern,Fertilized,Seedling,1538403801,1598442077
53,4,Modern,Fertilized,Seedling,1316067816,1363258031
54,5,Modern,Fertilized,Seedling,1418791653,1580580533
55,6,Modern,Fertilized,Seedling,1801767864,1867181011
56,1,Modern,Fertilized,Early_Vegetative,1190856503,1253627604
57,2,Modern,Fertilized,Early_Vegetative,758689197.3,820236809.6
58,3,Modern,Fertilized,Early_Vegetative,1100485318,1161737047
59,4,Modern,Fertilized,Early_Vegetative,1517793573,1631585079
60,5,Modern,Fertilized,Early_Vegetative,1832594892,1968849018
61,6,Modern,Fertilized,Early_Vegetative,1275614277,1387251541
62,1,Modern,Fertilized,Late_Vegetative,1782060475,1958550970
63,2,Modern,Fertilized,Late_Vegetative,2566888902,2772439002
64,3,Modern,Fertilized,Late_Vegetative,1218691456,1304420771
65,4,Modern,Fertilized,Late_Vegetative,2135072743,2189163264
66,5,Modern,Fertilized,Late_Vegetative,2925011361,3142183265
67,6,Modern,Fertilized,Late_Vegetative,1572546580,1718088102
68,1,Modern,Fertilized,Early_Flower,1798421034,1949145235
69,2,Modern,Fertilized,Early_Flower,1377895777,1504143953
70,3,Modern,Fertilized,Early_Flower,1612884107,1764350710
71,4,Modern,Fertilized,Early_Flower,1974391865,2157653436
72,5,Modern,Fertilized,Early_Flower,1621101129,1791242973
73,6,Modern,Fertilized,Early_Flower,2232915050,2489944219
